step,loss,val_loss,mae,val_mae,mse,val_mse,train_mse,test_mse
116,784.7727661132812,1824.5357666015625,21.20218276977539,30.411495208740234,783.6113891601562,1823.3717041015625,784.7727661132812,1824.5357666015625
117,765.3099365234375,1768.87353515625,21.29955291748047,29.687255859375,764.1446533203125,1767.70751953125,765.3099365234375,1768.87353515625
118,758.546142578125,1798.9632568359375,20.95861053466797,30.04322052001953,757.3788452148438,1797.7950439453125,758.546142578125,1798.9632568359375
119,753.9308471679688,1807.671630859375,20.79987335205078,30.21613311767578,752.761962890625,1806.5009765625,753.9308471679688,1807.671630859375
120,703.4016723632812,1791.57421875,20.142271041870117,30.155967712402344,702.23046875,1790.4017333984375,703.4016723632812,1791.57421875
121,706.797607421875,1791.36376953125,20.148120880126953,30.340932846069336,705.6237182617188,1790.188720703125,706.797607421875,1791.36376953125
122,712.5030517578125,1801.7899169921875,20.199350357055664,30.163297653198242,711.3274536132812,1800.61328125,712.5030517578125,1801.7899169921875
123,690.9387817382812,1752.6099853515625,20.105199813842773,29.79604148864746,689.7610473632812,1751.43115234375,690.9387817382812,1752.6099853515625
124,737.535400390625,1754.54150390625,20.71304702758789,29.877573013305664,736.3556518554688,1753.3609619140625,737.535400390625,1754.54150390625
125,738.009521484375,1758.226806640625,20.38519859313965,30.06989097595215,736.827392578125,1757.0438232421875,738.009521484375,1758.226806640625
126,669.873046875,1814.6187744140625,19.75904655456543,30.39057731628418,668.6893310546875,1813.4344482421875,669.873046875,1814.6187744140625
127,717.5330810546875,1801.6973876953125,20.510894775390625,30.179136276245117,716.34765625,1800.5107421875,717.5330810546875,1801.6973876953125
128,671.9005737304688,1779.193115234375,19.846834182739258,30.12421417236328,670.7132568359375,1778.0045166015625,671.9005737304688,1779.193115234375
129,705.6210327148438,1764.932373046875,20.156024932861328,30.286457061767578,704.431396484375,1763.7415771484375,705.6210327148438,1764.932373046875
130,716.683837890625,1741.523681640625,20.250839233398438,30.12405014038086,715.492431640625,1740.3311767578125,716.683837890625,1741.523681640625
131,659.8837890625,1743.1494140625,19.524303436279297,30.016447067260742,658.68994140625,1741.95458984375,659.8837890625,1743.1494140625
132,686.858642578125,1759.173583984375,20.003610610961914,29.943593978881836,685.6629028320312,1757.9771728515625,686.858642578125,1759.173583984375
133,725.2415161132812,1748.066650390625,20.420921325683594,30.029296875,724.0439453125,1746.867919921875,725.2415161132812,1748.066650390625
134,712.3154296875,1809.8975830078125,20.46015167236328,30.35333824157715,711.1159057617188,1808.6971435546875,712.3154296875,1809.8975830078125
135,671.0606689453125,1775.6710205078125,19.737905502319336,30.105388641357422,669.8589477539062,1774.4678955078125,671.0606689453125,1775.6710205078125
136,704.32666015625,1763.447265625,20.263721466064453,30.1733455657959,703.1227416992188,1762.2421875,704.32666015625,1763.447265625
137,704.2532958984375,1760.5933837890625,20.082731246948242,30.178543090820312,703.0474853515625,1759.385986328125,704.2532958984375,1760.5933837890625
138,664.8192138671875,1789.1724853515625,19.732603073120117,30.300424575805664,663.6107177734375,1787.9632568359375,664.8192138671875,1789.1724853515625
139,667.0350341796875,1761.408935546875,19.84664535522461,30.242042541503906,665.8251342773438,1760.197998046875,667.0350341796875,1761.408935546875
140,694.4764404296875,1787.087646484375,19.889516830444336,30.362674713134766,693.264404296875,1785.8748779296875,694.4764404296875,1787.087646484375
141,688.9307250976562,1807.0526123046875,19.815996170043945,30.49227523803711,687.7171020507812,1805.837890625,688.9307250976562,1807.0526123046875
142,680.458984375,1782.4002685546875,19.81946563720703,30.241378784179688,679.243896484375,1781.184814453125,680.458984375,1782.4002685546875
143,701.0787963867188,1761.72314453125,20.212610244750977,29.810697555541992,699.8630981445312,1760.5062255859375,701.0787963867188,1761.72314453125
144,663.9490356445312,1778.2178955078125,19.471078872680664,30.20509147644043,662.7327270507812,1777.0009765625,663.9490356445312,1778.2178955078125
145,628.6368408203125,1758.496337890625,19.24200439453125,30.021127700805664,627.4194946289062,1757.279296875,628.6368408203125,1758.496337890625
146,645.1256713867188,1743.5546875,19.272005081176758,29.959978103637695,643.908447265625,1742.3372802734375,645.1256713867188,1743.5546875
147,642.5868530273438,1768.7540283203125,19.337621688842773,30.22210121154785,641.3687133789062,1767.5352783203125,642.5868530273438,1768.7540283203125
148,664.7167358398438,1785.22509765625,19.72315788269043,30.356916427612305,663.498046875,1784.006103515625,664.7167358398438,1785.22509765625
149,676.5822143554688,1776.3536376953125,19.738056182861328,30.117815017700195,675.3626708984375,1775.1337890625,676.5822143554688,1776.3536376953125
150,655.1155395507812,1774.177734375,19.437946319580078,30.213172912597656,653.8954467773438,1772.9571533203125,655.1155395507812,1774.177734375
151,656.6889038085938,1769.476806640625,19.36148452758789,29.95528793334961,655.4678955078125,1768.2554931640625,656.6889038085938,1769.476806640625
152,648.6134643554688,1753.8782958984375,19.541278839111328,29.976266860961914,647.39208984375,1752.6566162109375,648.6134643554688,1753.8782958984375
153,668.9058837890625,1785.2515869140625,19.5426082611084,30.28694725036621,667.68408203125,1784.0294189453125,668.9058837890625,1785.2515869140625
154,642.7706298828125,1798.5186767578125,19.137775421142578,30.404354095458984,641.5478515625,1797.2955322265625,642.7706298828125,1798.5186767578125
155,649.3070068359375,1776.5478515625,19.401395797729492,30.089982986450195,648.08349609375,1775.323974609375,649.3070068359375,1776.5478515625
156,657.50146484375,1770.5902099609375,19.323915481567383,30.04265594482422,656.2774658203125,1769.3665771484375,657.50146484375,1770.5902099609375
157,671.6146240234375,1776.3521728515625,19.65123748779297,30.1491641998291,670.3904418945312,1775.1280517578125,671.6146240234375,1776.3521728515625
158,652.7097778320312,1768.599609375,19.436750411987305,30.022886276245117,651.4857788085938,1767.3751220703125,652.7097778320312,1768.599609375
159,632.6735229492188,1772.132568359375,19.0604190826416,30.076261520385742,631.4490356445312,1770.90771484375,632.6735229492188,1772.132568359375
160,662.8659057617188,1754.92822265625,19.535123825073242,29.901958465576172,661.6411743164062,1753.70361328125,662.8659057617188,1754.92822265625
161,659.3661499023438,1760.9107666015625,19.506616592407227,29.968730926513672,658.14111328125,1759.685791015625,659.3661499023438,1760.9107666015625
162,658.960693359375,1757.096923828125,19.459991455078125,29.89529037475586,657.7354125976562,1755.8717041015625,658.960693359375,1757.096923828125
163,669.6260986328125,1743.135986328125,19.626502990722656,29.709665298461914,668.400634765625,1741.9107666015625,669.6260986328125,1743.135986328125
164,644.9799194335938,1759.2742919921875,19.33837890625,29.876331329345703,643.7540893554688,1758.0487060546875,644.9799194335938,1759.2742919921875
165,653.9046630859375,1756.96142578125,19.515138626098633,29.83916473388672,652.678955078125,1755.7357177734375,653.9046630859375,1756.96142578125
